5.117572649810216839e-02,4.254772627872319829e-02,8.008061963359258684e-02,4.945326454435189367e-02
5.308555083242791350e-02,4.187275708609515534e-02,7.995612748703299910e-02,5.243873953476720084e-02
5.105651472042660455e-02,3.850555042004552564e-02,7.903246451828975505e-02,4.396314259258241736e-02
5.141722658692994552e-02,3.879959024563672115e-02,7.924890923163073475e-02,4.492091872399892050e-02
5.108911012731958551e-02,3.925713389080591476e-02,7.937335192854225174e-02,4.474716836279160614e-02
4.997098498090672691e-02,3.855787305126497783e-02,7.823727110444365918e-02,4.297148088967033680e-02
4.987066704319587790e-02,3.846781729298411751e-02,7.800505191978494846e-02,4.299916199020731300e-02
5.524694866173567032e-02,4.516308491451740542e-02,8.177246987574043890e-02,5.913647397426143731e-02
5.177130838097220716e-02,3.901954464640565445e-02,7.924348262163639911e-02,4.610916724428059527e-02
5.073255946459208354e-02,3.898899493908152686e-02,7.895786573010298015e-02,4.419872808331567343e-02
5.150589274024584135e-02,3.881330727144255421e-02,7.943827584103138606e-02,4.481318531250556153e-02
5.052951165920706311e-02,3.832091689726830480e-02,7.861583125083632106e-02,4.316250644010790477e-02
